Yaer,Month,Date,Concentration
2018,6,14,6
2018,6,15,5
2018,6,16,15
2018,6,17,10
2018,6,18,11
2018,6,19,8
2018,6,20,8
2018,6,21,11
2018,6,22,13
2018,6,23,12
2018,6,24,13
2018,6,25,15
2018,6,26,19
2018,6,27,11
2018,6,28,13
2018,6,29,15
2018,6,30,15
2018,7,1,13
2018,7,2,10
2018,7,3,12
2018,7,4,10
2018,7,5,10
2018,7,6,11
2018,7,7,14
2018,7,8,10
2018,7,9,7
2018,7,10,8
2018,7,11,10
2018,7,12,10
2018,7,13,6
2018,7,14,6
2018,7,15,6
2018,7,16,5
2018,7,17,5
2018,7,18,7
2018,7,19,8
2018,7,20,8
2018,7,21,12
2018,7,22,12
2018,7,23,18
2018,7,24,18
2018,7,25,15
2018,7,26,16
2018,7,27,18
2018,7,28,21
2018,7,29,14
2018,7,30,17
2018,7,31,16
2018,8,1,18
2018,8,2,17
2018,8,3,14
2018,8,4,15
2018,8,5,16
2018,8,6,14
2018,8,7,12
2018,8,8,13
2018,8,9,16
2018,8,10,21
2018,8,11,24
2018,8,12,21
2018,8,13,17
2018,8,14,7
2018,8,15,11
2018,8,16,12
2018,8,17,13
2018,8,18,14
2018,8,19,12
2018,8,20,10
2018,8,21,13
2018,8,22,12
2018,8,23,7
2018,8,24,8
2018,8,25,10
2018,8,26,12
2018,8,27,12
2018,8,28,8
2018,8,29,11
2018,8,30,10
2018,8,31,11
2018,9,1,17
2018,9,2,16
2018,9,3,15
2018,9,4,17
2018,9,5,22
2018,9,6,21
2018,9,7,23
2018,9,8,11
2018,9,9,7
2018,9,10,8
2018,9,11,7
2018,9,12,14
2018,9,13,7
2018,9,14,8
2018,9,15,8
2018,9,16,10
2018,9,17,20
2018,9,18,15
2018,9,19,8
2018,9,20,25
2018,9,21,29
2018,9,22,21
2018,9,23,12
2018,9,24,10
2018,9,25,15
2018,9,26,14
2018,9,27,12.0
2018,9,28,12
2018,9,29,15
2018,9,30,22
2018,10,1,25
2018,10,2,15
2018,10,3,12
2018,10,4,13
2018,10,5,18
2018,10,6,18
2018,10,7,16
2018,10,8,15
2018,10,9,17
2018,10,10,20
2018,10,11,10
2018,10,12,10
2018,10,13,10
2018,10,14,9
2018,10,15,8
2018,10,16,10
2018,10,17,12
2018,10,18,22
2018,10,19,15
2018,10,20,12
2018,10,21,11
2018,10,22,14
2018,10,23,16
2018,10,24,14
2018,10,25,17
2018,10,26,25
2018,10,27,22
2018,10,28,14
2018,10,29,14
2018,10,30,14
2018,10,31,11
2018,11,1,11
2018,11,2,6
2018,11,3,9
2018,11,4,8
2018,11,5,9
2018,11,6,9
2018,11,7,14
2018,11,8,33
2018,11,9,15
2018,11,10,12
2018,11,11,16
2018,11,12,18
2018,11,13,11
2018,11,14,11
2018,11,15,13
2018,11,16,15
